predicted_ra,predicted_dec,predicted_year,predicted_month,predicted_day,predicted_hour
37.565277,-90.33765,2026,16,146,9
43.068146,-92.16956,2025,45,271,-7
328.31326,-79.76255,2027,3,72,106
331.84894,-81.200615,2026,4,86,128
342.29007,-82.70809,2027,6,101,150
45.382935,-92.8426,2033,111,589,-56
42.345276,-83.50004,2026,28,99,-12
331.00226,22.713938,2028,5,17,9
342.2751,-84.22789,2031,7,167,262
334.351,-77.69071,2033,3,53,73
65.307434,17.430475,2029,4,16,5
345.3484,17.12111,2028,6,19,6
321.12283,-73.01914,2026,5,40,53
336.45874,-82.81601,2030,6,121,185
43.19815,-91.190216,2027,80,370,-57
33.60959,-90.70974,2027,9,140,12
43.66223,-89.926544,2033,58,258,-36
55.972504,9.463443,2030,7,14,9
29.823456,-79.52171,2034,7,69,13
43.96408,-89.39116,2026,51,227,-30
335.5961,-82.50164,2028,4,110,167
43.876495,-92.99546,2025,67,396,-17
42.102844,-92.9582,2028,49,318,-5
330.2676,-79.69434,2033,5,68,99
318.79425,-76.25604,2032,3,54,79
22.25174,-66.98543,2032,6,45,17
318.5028,-75.19403,2029,2,50,72
338.4662,-83.043655,2026,5,121,184
229.2842,-30.19423,2033,5,17,16
339.28394,-82.991615,2029,5,116,176
334.86823,-82.31526,2034,4,106,161
325.01862,-78.33537,2028,2,64,94
28.010498,-53.056,2034,9,46,3
229.50081,-47.30425,2030,3,22,27
40.44388,-84.868744,2029,21,108,-3
66.94748,-12.241856,2026,8,22,1
344.78458,-83.32341,2026,7,114,170
340.19345,-84.01642,2026,6,161,254
331.3678,-74.52605,2031,7,40,52
341.8943,-84.04916,2033,7,158,246
7.9193726,-3.6521847,2031,7,15,5
40.057556,-89.84904,2030,22,153,4
339.44604,-43.537193,2025,8,18,13
328.13922,-71.33495,2028,6,34,42
341.96478,-83.020004,2033,6,111,166
306.88397,10.945329,2034,6,18,8
355.75455,-78.877304,2027,7,49,65
295.90704,-35.813408,2033,5,18,16
42.75348,-89.87383,2031,31,178,-4
44.49185,-92.7627,2026,69,393,-20
36.39203,-88.01883,2026,12,113,9
43.041565,-84.94512,2031,31,117,-15
336.26852,-82.45905,2030,6,111,169
230.89154,-47.7909,2027,3,22,27
333.90524,-78.474846,2026,3,57,80
44.900696,-89.98785,2029,50,237,-24
339.04596,-37.945396,2028,4,24,23
36.897095,-80.63342,2033,14,83,0
27.700409,-81.29613,2029,5,69,19
341.18555,-71.22781,2027,4,36,44
